struct;co2_ads [mg/g];q_st_co2_ads [kJ/mol];co2_des [mg/g];q_st_co2_des [kJ/mol];n2_ads [mg/g];q_st_n2_ads [kJ/mol]
hcb_18-08-01_01-01-01;240.344451976026;14.864437655163204;2.263492622943001;14.3094090899169;30.783781034845557;6.1061565685345665
cla_29-02-06_29-02-06_29-02-06_29-02-06_None_None_None_None_None_None;430.9122744061198;8.87381551429079;3.727678058640001;7.706140120344537;120.74822464562;4.2219330118484555
sig_2_None_4_29-02-06;418.2513991792182;8.293909307439547;3.728527962468001;7.199348264776921;118.721586297375;4.076007214297188
reo-t_29-02-06_29-02-06_29-02-06_None_None_None_None_None_None_None_None_None_None;487.33434992205605;8.312931247942121;4.342528370028;6.867428314687508;157.402166393317;3.754540559510245
tdd_29-02-06_29-02-06_29-02-06_29-02-06_02-02-06_02-02-06_02-02-06_02-02-06_02-02-06_02-02-06_02-02-06_02-02-06_02-02-06_02-02-06_02-02-06_02-02-06;973.8293161468499;4.5844890200784585;9.209711535750001;4.0595303805495195;489.71029200676696;2.766900295714366
tdc_29-02-06_29-02-06_29-02-06_None_None_None_None_None_None_None_None_None;561.2932963865519;7.110529199173769;5.627250820983999;6.570740838282803;208.13276053623997;3.477594183918669
ths-c3_33-11-02_02-01-02_02-01-02;0.0;2.477712651973833;0.0;2.477712651973833;0.0;2.477712651973833
dtd_29-02-06_29-02-06_29-02-06_29-02-06_None_None_None_None_None_None_None_None_None_None;553.183312519134;7.560870855531628;5.416020807069;5.574959426519136;198.86997840010798;3.4151062556345217
ctn_33-11-02_30-01-02_None;69.05857339279851;20.55167485232505;0.9955768828460002;19.278298099385943;14.075791736737502;13.202370434658484
tdd_29-02-06_29-02-06_29-02-06_29-02-06_None_None_None_None_None_None_None_None_None_None_None_None;643.518704425284;6.681301974386077;5.886494413470001;7.4441866508769055;257.789107240632;3.2705787223008627
odi_2_02-05-09_4_29-03-09;526.909655898171;7.3271177003895875;4.949657669502;7.147304151979184;185.15444908807902;3.4418814320770985
abr_29-02-04_29-02-04_29-02-04_02-03-04_02-03-04_02-03-04;409.90042874262;8.563146849410694;4.0111014263800016;7.253935343306574;135.237553189427;3.7873761413112215
cbd_29-02-06_29-02-06_29-02-06_29-02-06_29-02-06_29-02-06_None_None_None_None_None_None_None_None_None;427.46976483497497;9.73879832643928;4.0410865229500015;8.635595072964323;122.298709895271;3.8042369590810794
tfp-a_15-02-08_15-02-08_15-02-08_15-02-08_07-10-08_07-10-08_07-10-08_07-10-08_07-10-08_07-10-08_07-10-08;3846.733267552473;3.4572624790538464;33.98438190238;2.7733187571093376;2243.79593735148;2.6919734796590076
ulg_29-03-12_07-12-12_06-12-12_06-12-12;645.0837611928603;9.227957927095053;5.8756402423799985;8.182343944272287;196.08958428027097;3.701773428241681
odk_2_01-02-06_4_29-02-06;570.5065138134199;6.880450168445258;5.31930953518;6.316081462611162;224.37667672937198;3.233572208149059
epp-a_36-11-11_36-11-11_36-11-11_36-11-11_02-07-11_02-07-11_02-07-11_02-07-11_02-07-11_02-07-11_02-07-11;370.9018447948;6.3667875507673655;3.2851160507199997;5.4721151438229505;155.79500589124598;3.3265421979387515
abr_29-02-08_29-02-08_29-02-08_06-10-08_07-10-08_06-10-08;399.38512933906196;8.789850862760236;3.3247461339360003;7.574990465731676;129.829319449088;3.9330894580068994
fvr_29-02-06_29-02-06_None_None_None_None_None;427.96333906721503;8.9216947563629;3.6627076349819987;8.828963731792955;126.01475465132398;4.019607321491362
odh_2_01-02-04_4_29-03-04;468.17814241491806;7.672758067928989;4.0639220007359995;5.780880854263151;170.31499371413602;3.616519953162765
sln_35-11-03_35-11-03_29-01-03_None_None_None;545.4899904597;15.401703345479673;4.794961748199999;13.688443854410874;63.8138342448775;6.118495617965088
tdd_29-05-09_29-05-09_29-05-09_29-05-09_03-03-09_03-03-09_03-03-09_03-03-09_03-03-09_03-03-09_03-03-09_03-03-09_03-03-09_03-03-09_03-03-09_03-03-09;1481.360328605304;5.329853364612827;13.581460169532;4.244897786303574;744.768033220477;2.76389055255703
odg_29-02-08_29-02-08_29-02-08_29-02-08_29-02-08_29-02-08_29-02-08_29-02-08_29-02-08_29-02-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08;422.496268188376;7.0927955057815435;3.5574792377280002;6.814541434218582;144.761173841868;3.9548020919485647
abr_29-02-08_29-02-08_29-02-08_07-10-08_06-10-08_07-10-08;413.11510613410815;7.639321719037577;3.691448182852;6.784366652328948;134.023285665864;4.16509096219558
odg_29-02-04_29-02-04_29-02-04_29-02-04_29-02-04_29-02-04_29-02-04_29-02-04_29-02-04_29-02-04_02-03-04_02-03-04_02-03-04_02-03-04_02-03-04_02-03-04_02-03-04_02-03-04_02-03-04_02-03-04_02-03-04_02-03-04_02-03-04_02-03-04_02-03-04_02-03-04;405.08610300531603;7.457617664780189;3.770134131723;6.261453074748711;139.31338934231198;3.8894882097699472
oku-a_16-02-06_16-02-06_01-02-06_01-02-06_01-02-06_02-02-06;451.395585256866;8.846489462307316;4.20486916823;7.94927622749172;149.716939233701;3.6425928430762897
lcs-b_30-02-04_30-03-04_None;431.28870707578506;23.865113595512263;5.131898725941;16.095363850268825;49.289013312539;10.387247906630488
sln_12-02-06_11-02-06_29-02-06_None_None_None;381.316159920384;9.474900247963008;2.979032499378;9.477142760641833;101.90565328744098;4.136360917900442
unp_29-03-12_08-12-12_09-12-12_08-12-12;579.266369773315;9.968736695935123;5.669855095463;10.524837019274155;160.56562271993099;3.735172365927668
nof-c_33-11-02_33-11-02_02-01-02_01-01-02_01-01-02;849.1859083771874;19.573339674355072;3.8819927240099985;13.046237154501783;59.242410480429754;6.4625985531907775
pbz-m_21-10-08_21-10-08_21-10-08_02-02-08_02-02-08_02-02-08_02-02-08_02-02-08;1038.3111385102181;5.822900697062602;9.929643619996002;4.720894130568881;494.15702563047006;2.821558438965679
sdt_29-01-01_29-01-01_06-08-01_06-08-01_06-08-01;398.3369425773479;7.702714160135376;3.746962003284;7.536858563701303;144.50720889862401;3.5560175116060466
msd_29-02-06_29-02-06_29-02-06_29-02-06_29-02-06_29-02-06_29-02-06_None_None_None_None_None_None_None_None_None_None_None_None_None_None;425.7697841673429;9.381834507506351;4.0556162722460005;8.80596844201913;122.18368002302402;3.86756609101339
twt-b_12-02-04_12-03-04_None_None;132.04593174402606;39.04014267614772;66.205078869326;33.942062877304174;27.83875934815982;15.353682770476437
bzd_29-03-12_29-03-12_29-03-12_29-03-12_06-12-12_06-12-12_06-12-12_06-12-12_06-12-12_06-12-12_06-12-12_06-12-12_06-12-12;670.0848046301759;7.896512630629338;6.544408952015999;7.55697296273262;213.74810659646;3.0156191041021168
bzd_30-01-01_30-01-01_30-01-01_30-01-01_09-08-01_09-08-01_09-08-01_09-08-01_09-08-01_09-08-01_09-08-01_09-08-01_09-08-01;417.184772811687;11.17731156052867;3.923165647740499;10.182130256536896;106.748862224121;4.418954452936436
odl_29-02-06_29-02-06_29-02-06_29-02-06_29-02-06_29-02-06_29-02-06_29-02-06_29-02-06_29-02-06_29-02-06_None_None_None_None_None_None_None_None_None_None_None_None_None_None_None_None_None_None_None_None;422.6020317636802;9.000986892809998;3.696004977465999;8.826506719808267;115.66740659475005;4.1870099599985995
mct_11-03-09_11-03-09_11-03-09_01-05-09_01-05-09_01-05-09_01-05-09_01-05-09;1229.540697990972;6.967639842547543;11.431375403508005;4.972095602781085;570.3691617533191;2.5989439944509547
abr_29-03-12_29-03-12_29-03-12_06-12-12_07-12-12_07-12-12;495.1930215087151;10.053769846257673;4.632007652638;10.73164164493758;118.48631657599;3.911161666513883
cbd_29-05-09_29-05-09_29-05-09_29-05-09_29-05-09_29-05-09_02-03-09_02-03-09_02-03-09_02-03-09_02-03-09_02-03-09_02-03-09_02-03-09_02-03-09;577.214485905354;8.610880233467906;5.14017917433;6.309073034705997;211.90537920867192;3.4707722276237156
dtd_29-02-06_29-02-06_29-02-06_29-02-06_02-02-06_02-02-06_02-02-06_02-02-06_02-02-06_02-02-06_02-02-06_02-02-06_02-02-06_02-02-06;765.6793698223347;5.123584463745224;7.179388765038003;4.0509451688994;368.307134968136;2.999078239082673
bor_17-10-08_29-02-08_None;537.4047044117457;15.189960259843462;3.534546240054375;10.421711900757494;74.04932416665251;5.421641880489654
mct_12-02-05_12-02-05_12-02-05_01-04-05_01-04-05_01-04-05_01-04-05_01-04-05;1130.2326638474954;6.402744253464191;10.477593972575;4.685961333696906;485.32362264903014;2.8519834740348475
dia-b3++_29-02-08_29-02-08_29-02-08_06-10-08_07-10-08;374.08895622095406;7.63090542983434;2.9263803615720008;6.3674151257318465;127.49359416147206;4.005286708694409
mep_29-03-12_29-03-12_29-03-12_06-12-12_06-12-12_06-12-12_06-12-12;531.488381908221;10.09154548660378;4.841887958985001;10.08289610290251;128.908094020574;3.6968160795907776
tdd_29-02-08_29-02-08_29-02-08_29-02-08_08-10-08_08-10-08_08-10-08_08-10-08_08-10-08_08-10-08_08-10-08_08-10-08_08-10-08_08-10-08_08-10-08_08-10-08;758.3136328943698;6.25298390225;6.699626707515;5.3553058887908005;336.610669975448;2.9526794755162302
ths-b_16-01-03_35-11-03_None_None;403.84628595569944;13.251582688727973;3.0496969895488593;12.452746637444436;61.81138340153853;5.729116777545352
hcb_12-02-08_09-10-08;92.38440456813149;19.38585217021445;3.174721806465;22.186621899572522;14.635549206690627;11.588772830279305
msd_29-03-12_29-03-12_29-03-12_29-03-12_29-03-12_29-03-12_29-03-12_07-12-12_07-12-12_07-12-12_07-12-12_07-12-12_07-12-12_07-12-12_07-12-12_07-12-12_07-12-12_07-12-12_07-12-12_07-12-12_07-12-12;506.09851060967003;11.424371485540016;4.6819567330580005;10.75521217453418;125.052193934144;3.857372135468193
xik_29-02-06_31-02-06_None_None_None;432.33117277248;8.465927863157624;4.119822518318;8.9078136871958;119.770135552757;4.253266693417991
ths-b-c+_11-01-02_33-11-02_None_None;0.0;2.477712651973833;0.0;2.477712651973833;0.0;2.477712651973833
sql_25-10-08_02-02-08;122.24846607421087;29.380172629511076;7.750958730751666;22.88709731962693;22.144480799221352;14.008971657552399
rra_28-02-06_16-02-06_16-02-06_None_None_None;515.862922293;6.541356244246824;4.6751077998;4.597677549494781;203.607919830912;3.3279202858503534
msd_29-02-08_29-02-08_29-02-08_29-02-08_29-02-08_29-02-08_29-02-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08;432.15282899005797;8.093793285851579;3.8127739822039985;6.7903440495634895;150.41031071868005;3.950791773602441
odi_2_06-08-01_4_29-01-01;390.2109131665219;8.636730143982964;3.5212573498759996;7.603849684517818;136.49719392954796;3.7611356959254096
msd_29-02-05_29-02-05_29-02-05_29-02-05_29-02-05_29-02-05_29-02-05_02-04-05_02-04-05_02-04-05_02-04-05_02-04-05_02-04-05_02-04-05_02-04-05_02-04-05_02-04-05_02-04-05_02-04-05_02-04-05_02-04-05;599.5277647774379;7.967729667479942;5.583602012813999;7.833130753843363;203.22682130498399;3.1428398998812814
tdd_29-03-12_29-03-12_29-03-12_29-03-12_06-12-12_06-12-12_06-12-12_06-12-12_06-12-12_06-12-12_06-12-12_06-12-12_06-12-12_06-12-12_06-12-12_06-12-12;776.4998900841999;8.330887780940651;7.0523280896000005;8.185515575687825;276.42127757739496;3.1238162696250997
mgg_31-02-06_29-02-06_01-02-06_02-02-06_01-02-06;538.286721532812;6.700201477709764;4.498554125772;6.4912194304681625;216.989379163893;3.1779371630297204
lcs-b_29-02-04_29-03-04_None;388.265515978296;10.817796171402323;3.2260575618920004;10.409639654644497;82.89435111191999;5.0415391353973185
sod-b_30-03-04_29-02-04_None;432.92200439229754;12.576612132629462;3.52164322301;12.236903855659994;70.42807082131199;5.76921220340946
ths-c3_16-02-06_None_None;535.623487223823;13.61704887286799;3.6363195297472486;9.901410581051929;73.78388150055865;6.005608599611336
bcv_29-02-08_29-02-08_06-10-08_06-10-08_07-10-08;474.30577129510397;6.751072278655838;4.056935451520001;6.187790666832624;178.10883996839698;3.3991613285216093
ntn_31-02-06_29-02-06_29-02-06_None_None_None_None_None;417.8417937984301;10.040079948267707;3.5593002231180004;8.178918704268925;109.77011109159996;4.4229332036477915
tfp-a_35-11-03_35-11-03_35-11-03_35-11-03_04-01-03_04-01-03_04-01-03_04-01-03_04-01-03_04-01-03_04-01-03;1206.1726182663526;5.6158278156353605;11.321910854748996;6.32764849385742;579.4318372173391;3.0233974999434086
dtd_29-02-08_29-02-08_29-02-08_29-02-08_10-10-08_10-10-08_10-10-08_10-10-08_10-10-08_10-10-08_10-10-08_10-10-08_10-10-08_10-10-08;778.3691326670519;7.175658271963933;7.217246804724;4.498104863917617;365.1224192943601;2.9508222351871316
boe_17-10-08_17-10-08_02-02-08_01-02-08;370.8246231374529;9.74749014710613;3.031982343463;10.282751203102594;84.66606704701599;4.608138964263867
tdc_29-05-09_29-05-09_29-05-09_01-03-09_01-03-09_01-03-09_01-03-09_01-03-09_01-03-09_01-03-09_01-03-09_01-03-09;983.333328794448;6.48161120350737;8.974534885232002;5.5273395814572215;435.23505020078386;2.955515055262657
tfp-a_16-03-09_16-03-09_16-03-09_16-03-09_01-05-09_01-05-09_01-05-09_01-05-09_01-05-09_01-05-09_01-05-09;3305.6439491422084;4.118368541871695;31.03799385340801;3.5480493777123057;1852.3745983649499;2.6185472823357383
